Title,Category,Rating,Year,Length,Type,Age,Genre
Samurai Diablo,['thanks'],,2011,,Movie,,"['Short', 'Action']"
Priests with Guns,['thanks'],,2011,,Movie,,"['Short', 'Action']"
Dumb Fiction,['thanks'],7.3/10,2011,8m,Movie,,"['Short', 'Comedy']"
Bruce's Garden,['thanks'],8.6/10,2011,8m,Movie,,"['Short', 'Drama']"
The Legend Still Lives: 30 Years of Madman,['thanks'],6.4/10,2010,1h 30m,Video,,['Documentary']
The United Monster Talent Agency,['thanks'],7.2/10,2010,8m,Movie,,"['Short', 'Comedy']"
Scott Pilgrim vs. the World,['thanks'],7.5/10,2010,1h 52m,Movie,11,"['Action', 'Comedy', 'Fantasy']"
Detective Cook and Ashby,['thanks'],,2010,21m,Movie,,"['Short', 'Action', 'Comedy']"
Dream House,['thanks'],6.5/10,2009,14m,Video,,"['Short', 'Drama', 'Horror']"
Little Red Riding Hood,['thanks'],5.3/10,2009,15m,Video,,"['Short', 'Action', 'Adventure']"
The Divine Doll,['thanks'],,2009,2m,Movie,,"['Short', 'Drama', 'Mystery']"
Reiki,['thanks'],4.4/10,2009,1h 27m,Movie,,"['Action', 'Fantasy']"
The X Factor,['thanks'],4.3/10,2004–2018,1h,TV Series,,"['Music', 'Reality-TV']"
48 Hours in Purgatory,['thanks'],5.2/10,2009,,Movie,,"['Drama', 'Horror', 'Thriller']"
Siemiany,['thanks'],5.9/10,2009,19m,Movie,,"['Short', 'Drama']"
Deep River: The Island,['thanks'],5.9/10,2009,1h 16m,Movie,,"['Action', 'Comedy', 'Drama']"
Azteca: La piedra del sol,['thanks'],,2009,1h 59m,Movie,Not Rated,['Documentary']
Take,['thanks'],6.9/10,2008,1h 2m,Movie,,"['Comedy', 'Drama']"
The Outlaw Emmett Deemus and the Porno Queen,['thanks'],6.7/10,2008,8m,Movie,,"['Short', 'Comedy']"
Exact Bus Fare,['thanks'],7.7/10,2008,10m,Movie,,"['Short', 'Crime']"
The Waitlist,['thanks'],7.8/10,2008,,Movie,,"['Documentary', 'Short']"
A Conversation with Enzo Castellari and Quentin Tarantino,"['thanks', 'self']",7.2/10,2008,38m,Video,,"['Documentary', 'Short']"
Red Princess Blues Animated: The Book of Violence,['thanks'],6.9/10,2007,7m,Movie,,"['Animation', 'Short']"
Boot Polish,['thanks'],8.2/10,2007,15m,Movie,,"['Short', 'Drama']"
Larry Coryell: A Retrospective (A Sequel to His Story),['thanks'],,2007,3h,Video,,['Music']
Alexis Arquette: She's My Brother,['thanks'],7.3/10,2007,1h 10m,Movie,,['Documentary']
Lucky Prime,['thanks'],5.1/10,2007,6m,Movie,,"['Short', 'Comedy', 'Crime']"
Hot Fuzz,['thanks'],7.8/10,2007,2h 1m,Movie,11,"['Action', 'Comedy', 'Mystery']"
West,['thanks'],5.8/10,2007,1h 30m,Movie,,"['Crime', 'Drama', 'Romance']"
Back to the Well: 'Clerks II',"['thanks', 'self']",7.7/10,2006,1h 30m,Video,,['Documentary']
El Mascarado Massacre,['thanks'],4.4/10,2006,1h 15m,Movie,Not Rated,['Horror']
Budd Boetticher: A Man Can Do That,"['thanks', 'self']",7.3/10,2005,1h 26m,TV Movie,TV-PG,"['Documentary', 'Biography']"
Left for Dead,['thanks'],2.8/10,2005,1h 45m,Movie,Not Rated,"['Action', 'Adventure', 'Crime']"
Kill Dill,['thanks'],6.9/10,2005,15m,Movie,,"['Short', 'Action']"
C'est comme ça,['thanks'],6.2/10,2005,8m,Movie,G,"['Short', 'Drama']"
Broken,['thanks'],4.2/10,2005,19m,Movie,,"['Short', 'Action', 'Crime']"
'Pulp Fiction' on a Dime: A 10th Anniversary Retrospect,"['thanks', 'self']",5.7/10,2004,20m,TV Short,,"['Documentary', 'Short']"
Waisa Bhi Hota Hai Part II,['thanks'],7.4/10,2003,2h 17m,Movie,,"['Comedy', 'Crime', 'Drama']"
Grand Theft Parsons,['thanks'],6.0/10,2003,1h 28m,Movie,PG-13,"['Adventure', 'Comedy', 'Drama']"
Once Upon a Time in Mexico,['thanks'],6.3/10,2003,1h 42m,Movie,15,"['Action', 'Crime', 'Thriller']"
Hollywoods hemlighet,['thanks'],6.4/10,2001,1h 54m,Movie,15,"['Crime', 'Drama', 'Romance']"
Chelsea Walls,['thanks'],4.9/10,2001,1h 49m,Movie,R,['Drama']
Dogma,['thanks'],7.3/10,1999,2h 10m,Movie,15,"['Adventure', 'Comedy', 'Drama']"
Together & Alone,['thanks'],6.9/10,1998,1h 24m,Movie,,"['Comedy', 'Drama']"
Ensam mot alla,['thanks'],7.3/10,1998,1h 33m,Movie,15,"['Crime', 'Drama', 'Thriller']"
Full Tilt Boogie,"['thanks', 'self']",6.6/10,1997,1h 37m,Movie,R,['Documentary']
Vit som synden,['thanks'],5.3/10,1995,1h 29m,Movie,15,"['Drama', 'Thriller']"
Century of Cinema,['thanks'],7.7/10,1995–1998,,TV Series,,"['Documentary', 'Biography', 'History']"
Restaurant Dogs,['thanks'],5.3/10,1994,12m,Movie,,"['Short', 'Comedy']"
American Badass: A Michael Madsen Retrospective,['self'],,,1h 30m,Movie,,['Documentary']
The Video Archives Podcast with Quentin Tarantino and Roger Avary,['self'],9.1/10,2022–,,Podcast Series,,['Talk-Show']
Video Archives After Show,['self'],,2022–,,Podcast Series,,['Talk-Show']
The Late Show with Stephen Colbert,['self'],7.1/10,2015–,41m,TV Series,TV-PG,"['Comedy', 'Talk-Show']"
History of Horror,['self'],8.0/10,2018–2021,42m,TV Series,TV-MA,"['Documentary', 'Horror']"
