Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Imse vimse spindel...,"['producer', 'second unit director or assistant director']",6.5/10,1990,1h 49m,Movie,15,"['Comedy', 'Horror']",https://www.imdb.com/title/tt0099052/?ref_=nm_flmg_prd_145
Gremlins 2 - Det nya gänget,['producer'],6.4/10,1990,1h 46m,Movie,11,"['Comedy', 'Fantasy']",https://www.imdb.com/title/tt0099700/?ref_=nm_flmg_prd_146
Roller Coaster Rabbit,['producer'],7.4/10,1990,7m,Movie,PG,"['Animation', 'Short']",https://www.imdb.com/title/tt0100510/?ref_=nm_flmg_prd_147
Tillbaka till framtiden del III,['producer'],7.4/10,1990,1h 58m,Movie,PG,"['Adventure', 'Comedy', 'Sci-Fi']",https://www.imdb.com/title/tt0099088/?ref_=nm_flmg_prd_148
Akira Kurosawas drömmar,['producer'],7.7/10,1990,1h 59m,Movie,11,['Drama'],https://www.imdb.com/title/tt0100998/?ref_=nm_flmg_prd_149
Joe och vulkanen,['producer'],5.9/10,1990,1h 42m,Movie,7,"['Comedy', 'Romance']",https://www.imdb.com/title/tt0099892/?ref_=nm_flmg_prd_150
Always,"['producer', 'director']",6.4/10,1989,2h 2m,Movie,11,"['Drama', 'Fantasy', 'Romance']",https://www.imdb.com/title/tt0096794/?ref_=nm_flmg_prd_151
Tillbaka till framtiden del II,['producer'],7.8/10,1989,1h 48m,Movie,11,"['Adventure', 'Comedy', 'Sci-Fi']",https://www.imdb.com/title/tt0096874/?ref_=nm_flmg_prd_152
Dad,['producer'],6.3/10,1989,1h 57m,Movie,7,"['Comedy', 'Drama']",https://www.imdb.com/title/tt0097142/?ref_=nm_flmg_prd_153
Tummy Trouble,['producer'],7.2/10,1989,8m,Movie,G,"['Animation', 'Short']",https://www.imdb.com/title/tt0100821/?ref_=nm_flmg_prd_154
Landet för längesedan,['producer'],7.4/10,1988,1h 9m,Movie,7,"['Animation', 'Adventure']",https://www.imdb.com/title/tt0095489/?ref_=nm_flmg_prd_155
Vem satte dit Roger Rabbit,['producer'],7.7/10,1988,1h 44m,Movie,11,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0096438/?ref_=nm_flmg_prd_156
Miraklet på 8:e gatan,['producer'],6.6/10,1987,1h 46m,Movie,11,"['Comedy', 'Family', 'Fantasy']",https://www.imdb.com/title/tt0092494/?ref_=nm_flmg_prd_157
Solens rike,"['producer', 'director']",7.7/10,1987,2h 33m,Movie,11,"['Drama', 'History']",https://www.imdb.com/title/tt0092965/?ref_=nm_flmg_prd_158
