Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Extra,"['self', 'archive footage']",3.2/10,1994–,30m,TV Series,TV-PG,['News'],https://www.imdb.com/title/tt0247094/?ref_=nm_flmg_slf_51
CBS This Morning: Saturday,['self'],6.3/10,2012–,2h,TV Series,,[],https://www.imdb.com/title/tt2344864/?ref_=nm_flmg_slf_52
IMDb at Toronto International Film Festival,['self'],6.1/10,2017–,,TV Series,,[],https://www.imdb.com/title/tt8783910/?ref_=nm_flmg_slf_53
Larry King Now,['self'],5.7/10,2012–2020,,TV Series,TV-MA,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt2322438/?ref_=nm_flmg_slf_55
Chelsea,['self'],6.2/10,2016–2017,30m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt5672036/?ref_=nm_flmg_slf_56
WTF with Marc Maron,['self'],8.0/10,2009–,,Podcast Series,,[],https://www.imdb.com/title/tt12058860/?ref_=nm_flmg_slf_57
Fox & Friends,['self'],3.2/10,1998–,3h,TV Series,,['News'],https://www.imdb.com/title/tt0185065/?ref_=nm_flmg_slf_58
Good Morning America,['self'],4.4/10,1975–,2h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0072506/?ref_=nm_flmg_slf_59
The 42nd Annual People's Choice Awards,['self'],7.3/10,2016,2h,TV Special,,[],https://www.imdb.com/title/tt5344290/?ref_=nm_flmg_slf_60
Community: Chang's Large Hand,['self'],,2015,,Video,,['Short'],https://www.imdb.com/title/tt10417606/?ref_=nm_flmg_slf_61
Community: The Making of Community Season 6,['self'],,2015,,Video,,['Documentary'],https://www.imdb.com/title/tt10417592/?ref_=nm_flmg_slf_62
Community 100th Episode,['self'],,2015,,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt10379858/?ref_=nm_flmg_slf_63
Lip Sync Battle,['self'],7.2/10,2015–,30m,TV Series,TV-PG,['Music'],https://www.imdb.com/title/tt4335742/?ref_=nm_flmg_slf_64
The Insider,['self'],2.6/10,2004–2017,30m,TV Series,TV-PG,[],https://www.imdb.com/title/tt0430836/?ref_=nm_flmg_slf_65
The Late Late Show with Craig Ferguson,['self'],8.4/10,2005–2015,40m,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0437729/?ref_=nm_flmg_slf_66
Comedy Bang! Bang!,['self'],7.5/10,2012–2016,30m,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt2176287/?ref_=nm_flmg_slf_67
Harmontown,['self'],7.2/10,2014,1h 41m,Movie,Not Rated,['Documentary'],https://www.imdb.com/title/tt3518988/?ref_=nm_flmg_slf_68
Chelsea Lately,['self'],5.9/10,2007–2014,22m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt1002838/?ref_=nm_flmg_slf_69
The Soup,['self'],8.2/10,2004–2020,25m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt0421460/?ref_=nm_flmg_slf_70
The ArScheerio Paul Show,['self'],6.1/10,2013–,4m,TV Series,TV-MA,"['Short', 'Comedy', 'Talk-Show']",https://www.imdb.com/title/tt2928440/?ref_=nm_flmg_slf_71
Speakeasy: With Paul F. Tompkins,['self'],7.8/10,2012–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt2773976/?ref_=nm_flmg_slf_72
The Hour,['self'],6.4/10,2004–2014,1h,TV Series,,"['Comedy', 'Music', 'News']",https://www.imdb.com/title/tt0456031/?ref_=nm_flmg_slf_73
Nikki & Sara Live,['self'],5.6/10,2013–,,TV Series,,['Comedy'],https://www.imdb.com/title/tt2645666/?ref_=nm_flmg_slf_74
The Daily Show,['self'],8.3/10,1996–,22m,TV Series,TV-14,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt0115147/?ref_=nm_flmg_slf_75
Big Morning Buzz Live,"['self', 'archive footage']",6.0/10,2011–,1h,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt1907886/?ref_=nm_flmg_slf_76
Late Night with Jimmy Fallon,['self'],6.8/10,2009–2014,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt1231460/?ref_=nm_flmg_slf_77
David Letterman Show,['self'],6.9/10,1993–2015,1h,TV Series,TV-PG,"['Comedy', 'Music']",https://www.imdb.com/title/tt0106053/?ref_=nm_flmg_slf_78
The Morning After,['self'],7.1/10,2011–,5m,TV Series,,['Short'],https://www.imdb.com/title/tt1826909/?ref_=nm_flmg_slf_79
Conan,['self'],8.2/10,2010–2021,42m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt1637574/?ref_=nm_flmg_slf_80
The Tonight Show with Jay Leno,['self'],5.3/10,1992–2014,1h 2m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0103569/?ref_=nm_flmg_slf_81
Shit People Don't Say in LA,['self'],5.1/10,2012,,Movie,,['Short'],https://www.imdb.com/title/tt2359283/?ref_=nm_flmg_slf_82
MSN Exclusives,['self'],5.6/10,2012–,10m,TV Series,,"['Biography', 'Talk-Show']",https://www.imdb.com/title/tt2606208/?ref_=nm_flmg_slf_83
The Nerdist: January Special,['self'],8.1/10,2012,30m,TV Special,,['Short'],https://www.imdb.com/title/tt2319630/?ref_=nm_flmg_slf_84
The Making of 'Scream 4',['self'],,2011,11m,Video,,['Short'],https://www.imdb.com/title/tt5839118/?ref_=nm_flmg_slf_85
2011 Primetime Creative Arts Emmys,['self'],6.4/10,2011,2h,TV Special,,[],https://www.imdb.com/title/tt2060474/?ref_=nm_flmg_slf_86
Kevin Pollak's Chat Show,['self'],8.3/10,2009–2019,,TV Series,,[],https://www.imdb.com/title/tt1524593/?ref_=nm_flmg_slf_87
Inconvenient Interviews with Risa,['self'],4.8/10,2011,,Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt3675186/?ref_=nm_flmg_slf_88
Attack of the Show!,['self'],7.8/10,2005–2022,1h,TV Series,TV-14,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0498878/?ref_=nm_flmg_slf_89
Red Eye,['self'],7.3/10,2007–2017,1h,TV Series,,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt0964948/?ref_=nm_flmg_slf_90
Last Call with Carson Daly,['self'],3.1/10,2002–2019,30m,TV Series,TV-14,['Music'],https://www.imdb.com/title/tt0305056/?ref_=nm_flmg_slf_91
Nudes in the News,['archive footage'],5.3/10,2002–,,TV Series,,['News'],https://www.imdb.com/title/tt11719236/?ref_=nm_flmg_arf_1
Welcome to the Basement,['archive footage'],8.2/10,2012–,,TV Series,,[],https://www.imdb.com/title/tt4416750/?ref_=nm_flmg_arf_6
Lennon or McCartney,['archive footage'],5.4/10,2014,34m,Movie,,"['Documentary', 'Short']",https://www.imdb.com/title/tt4265422/?ref_=nm_flmg_arf_7
The Lego Movie Videogame,['archive footage'],7.2/10,2014,,Video Game,7,"['Action', 'Adventure']",https://www.imdb.com/title/tt3392892/?ref_=nm_flmg_arf_8
