Title,Category,Rating,Year,Length,Type,Age,Genre
Made in Hollywood,['self'],4.9/10,2005–,1h,TV Series,TV-PG,['Talk-Show']
Disney Gallery: Star Wars: The Mandalorian,['self'],8.4/10,2020–,33m,TV Series,12,['Documentary']
Hollywood First Look Features,['self'],6.7/10,2017–,,TV Series,,['Talk-Show']
Ok! TV,['self'],2.3/10,2013–,30m,TV Series,,"['News', 'Talk-Show']"
Inmate #1: The Rise of Danny Trejo,['self'],7.7/10,2019,1h 47m,Movie,Not Rated,"['Documentary', 'Biography']"
The Chef Show,['self'],8.2/10,TV-14,30m,TV Series,,['Documentary']
"Sharkboy and Lavagirl Return in Netflix's We Can Be Heroes, Says Robert Rodriguez",['self'],,2019,,Video,,"['Mystery', 'Thriller']"
IMDb on the Scene - Interviews,['self'],6.0/10,2017–,,TV Series,Not Rated,['Talk-Show']
Overheard,['self'],7.4/10,2010–,,TV Series,,['Talk-Show']
Les mots de...,['self'],,2018–,6m,TV Mini Series,,['Talk-Show']
The IMDb Show,['self'],6.0/10,2017–,13m,TV Series,,['Talk-Show']
Pantoffelkino,['self'],5.3/10,2013–,,TV Series,,['Talk-Show']
Quotidien,['self'],6.3/10,2016–,1h 35m,TV Series,,"['News', 'Talk-Show']"
Entertainment Tonight Canada,['self'],3.5/10,2005–,30m,TV Series,,"['Biography', 'Family', 'News']"
Also Starring Austin,['self'],8.1/10,2018,1h 31m,Movie,,['Documentary']
Light in the Darkness: The Impact of Night of the Living Dead,['self'],7.8/10,2018,24m,Video,,"['Documentary', 'Short']"
Life After Flash,['self'],6.6/10,2017,1h 34m,Movie,Not Rated,['Documentary']
Red Carpet Report,['self'],6.9/10,2009–,,TV Series,,"['Short', 'News', 'Talk-Show']"
No Retakes! No Surrender!,['self'],,2016,35m,Movie,,"['Documentary', 'Short']"
Ride with Norman Reedus,['self'],8.0/10,TV-14,43m,TV Series,,['Reality-TV']
Smoke and Mirrors: The Story of Tom Savini,['self'],7.3/10,2015,1h 31m,Movie,Not Rated,['Documentary']
Demi Lovato: Confident (Behind the Scenes),['self'],,2015,,Video,,"['Documentary', 'Short']"
2015 Hispanic Heritage Awards,['self'],,2015,,Movie,,[]
WTF with Marc Maron,['self'],7.9/10,2009–,,Movie,,['Talk-Show']
Durch die Nacht mit...,['self'],8.0/10,2002–,,TV Series,,['Documentary']
Jimmy Kimmel Live!,['self'],6.5/10,TV-14,1h,TV Series,,"['Comedy', 'Music', 'Talk-Show']"
The Daily Show,['self'],8.3/10,TV-14,22m,TV Series,,"['Comedy', 'News', 'Talk-Show']"
Side by Side Extra: Volume Two,['self'],8.9/10,2014,,Movie,,['Documentary']
Le grand journal de Canal+,['self'],5.9/10,2004–,1h,TV Series,,"['Documentary', 'Comedy', 'Talk-Show']"
"#TeamG1, la quotidienne",['self'],,2014–,,TV Series,,['News']
Red Bull Presents: Robert Rodriguez,['self'],,2014,,Movie,,"['Documentary', 'Short']"
